co_erro,rows,files,in_moterro
060108,3585,1375,yes
060109,1312806,4750,yes
060110,705141,4628,yes
060111,1,1,yes
060112,74,21,yes
060114,17586,1620,yes
060115,208,122,yes
060116,12,8,yes
060117,5087,946,yes
060118,1172,422,yes
060119,86,72,yes
060120,1216933,4902,yes
060121,70,44,yes
060123,173,118,yes
060125,8144,904,yes
060131,13348,1954,yes
060132,2512,1030,yes
060134,61,38,yes
060135,2041,987,yes
060136,13297,1574,yes
060138,48,36,yes
060139,52,29,yes
060140,108,34,yes
060141,368,277,yes
060142,676,277,yes
060143,5,3,yes
060144,3084,75,yes
060145,423,106,yes
060146,7214,1995,yes
060147,585016,4319,yes
060148,710,20,yes
060149,15149,2658,yes
060150,326390,4432,yes
060151,456,122,yes
060152,3,3,yes
060155,6694,1379,yes
060156,3332,1440,yes
060157,50,2,yes
060158,125,91,yes
060159,570,135,yes
060160,2220,349,yes
060161,457,57,yes
060162,5,2,yes
060166,1030,320,yes
060167,2041,580,yes
060168,10166,338,yes
060169,780,66,yes
060170,2530,413,yes
060171,4041,1418,yes
060172,547,204,yes
060178,2269,1066,yes
060179,1714,552,yes
060180,1747,314,yes
060181,1824,630,yes
060182,556,260,yes
060183,694,364,yes
060184,45,28,yes
060185,29205,721,yes
060186,6926,477,yes
060187,4868,582,yes
060188,15030,1402,yes
060189,7838,678,yes
060190,674,473,yes
060191,3261,1498,yes
060192,9886,1998,yes
060193,5054,1563,yes
060194,1161,620,yes
060195,30737,3021,yes
060196,678,468,yes
060197,26224,3108,yes
060200,1810,646,yes
060201,2595,947,yes
060202,590,370,yes
060203,12,7,yes
060204,11639,1968,yes
060205,13176,2289,yes
060206,7053,1629,yes
060207,10,8,yes
060210,2143,191,yes
060211,40,34,yes
060212,22,15,yes
060214,83751,540,yes
060215,2823,230,yes
060216,5663,1110,yes
060217,9166,181,yes
060221,42564,550,yes
060222,21,6,no
060223,107,8,no
060224,31,13,no
060225,6105,5,no
070011,35,18,yes
070012,206,10,yes
070013,206,10,yes
070017,1,1,yes
080004,42,34,yes
080006,10153,2313,yes
090001,26,25,yes
